# Timer data started: Tue Apr  6 10:53:34 2021
# timer(10 ns), starts, total starts, total stops
2576, 12, 246708, 1039
2388, 126, 246834, 1040
3152, 299, 247133, 1041
45, 51, 247184, 1042
2074, 255, 247439, 1043
3921, 102, 247541, 1044
99, 342, 247883, 1045
2754, 109, 247992, 1046
231, 47, 248039, 1047
26, 696, 248735, 1048
43, 221, 248956, 1049
283, 62, 249018, 1050
171, 8, 249026, 1051
1472, 150, 249176, 1052
110, 480, 249656, 1053
230, 17, 249673, 1054
139, 157, 249830, 1055
115, 22, 249852, 1056
392, 500, 250352, 1057
3770, 400, 250752, 1058
116, 530, 251282, 1059
29, 313, 251595, 1060
363, 54, 251649, 1061
475, 284, 251933, 1062
64, 291, 252224, 1063
360, 38, 252262, 1064
556, 248, 252510, 1065
95, 112, 252622, 1066
78, 120, 252742, 1067
2951, 269, 253011, 1068
3076, 95, 253106, 1069
245, 259, 253365, 1070
4013, 320, 253685, 1071
3907, 44, 253729, 1072
1684, 141, 253870, 1073
61, 258, 254128, 1074
162, 225, 254353, 1075
190, 118, 254471, 1076
40, 413, 254884, 1077
88, 86, 254970, 1078
232, 288, 255258, 1079
1548, 449, 255707, 1080
2577, 10, 255717, 1081
71, 262, 255979, 1082
508, 177, 256156, 1083
2442, 414, 256570, 1084
62, 232, 256802, 1085
144, 445, 257247, 1086
2286, 1154, 258401, 1087
374, 58, 258459, 1088
1533, 17, 258476, 1089
245, 175, 258651, 1090
37, 178, 258829, 1091
156, 29, 258858, 1092
58, 395, 259253, 1093
2795, 545, 259798, 1094
325, 986, 260784, 1095
107, 459, 261243, 1096
271, 64, 261307, 1097
149, 144, 261451, 1098
3552, 107, 261558, 1099
264, 29, 261587, 1100
900, 16, 261603, 1101
29, 17, 261620, 1102
164, 76, 261696, 1103
660, 256, 261952, 1104
150, 2, 261954, 1105
34, 17, 261971, 1106
3332, 37, 262008, 1107
434, 404, 262412, 1108
444, 883, 263295, 1109
765, 32, 263327, 1110
246, 512, 263839, 1111
145, 73, 263912, 1112
