# Timer data started: Sun Apr 11 10:40:43 2021
# timer(10 ns), starts, total starts, total stops
139, 1534, 506969, 836
281, 380, 507349, 837
1455, 99, 507448, 838
3456, 952, 508400, 839
364, 562, 508962, 840
84, 501, 509463, 841
1693, 15, 509478, 842
13, 768, 510246, 843
3441, 383, 510629, 844
2198, 402, 511031, 845
3241, 623, 511654, 846
2079, 89, 511743, 847
515, 761, 512504, 848
2992, 193, 512697, 849
926, 161, 512858, 850
193, 242, 513100, 851
3754, 38, 513138, 852
281, 886, 514024, 853
1053, 749, 514773, 854
3926, 1036, 515809, 855
580, 2001, 517810, 856
131, 160, 517970, 857
814, 41, 518011, 858
2181, 1965, 519976, 859
2706, 162, 520138, 860
3454, 61, 520199, 861
1213, 1103, 521302, 862
141, 28, 521330, 863
3171, 648, 521978, 864
518, 356, 522334, 865
76, 987, 523321, 866
1291, 116, 523437, 867
2076, 323, 523760, 868
698, 1718, 525478, 869
1031, 239, 525717, 870
244, 893, 526610, 871
1398, 98, 526708, 872
235, 154, 526862, 873
30, 1512, 528374, 874
3086, 959, 529333, 875
2031, 116, 529449, 876
4068, 99, 529548, 877
124, 437, 529985, 878
1966, 124, 530109, 879
261, 789, 530898, 880
1968, 1206, 532104, 881
1513, 1590, 533694, 882
4075, 217, 533911, 883
3807, 631, 534542, 884
2694, 906, 535448, 885
2488, 37, 535485, 886
53, 255, 535740, 887
800, 7, 535747, 888
277, 420, 536167, 889
101, 1533, 537700, 890
1014, 345, 538045, 891
106, 270, 538315, 892
27, 698, 539013, 893
1590, 683, 539696, 894
2044, 778, 540474, 895
644, 154, 540628, 896
2114, 1322, 541950, 897
1355, 949, 542899, 898
3457, 60, 542959, 899
1484, 1318, 544277, 900
2415, 901, 545178, 901
2403, 40, 545218, 902
3414, 26, 545244, 903
287, 445, 545689, 904
598, 413, 546102, 905
3623, 64, 546166, 906
3466, 1652, 547818, 907
1081, 619, 548437, 908
939, 417, 548854, 909
3301, 14, 548868, 910
1932, 602, 549470, 911
344, 569, 550039, 912
664, 12, 550051, 913
634, 1026, 551077, 914
314, 594, 551671, 915
153, 1210, 552881, 916
2790, 631, 553512, 917
560, 4005, 557517, 918
2565, 114, 557631, 919
3990, 81, 557712, 920
2724, 291, 558003, 921
1980, 1000, 559003, 922
143, 2560, 561563, 923
1415, 337, 561900, 924
728, 429, 562329, 925
981, 368, 562697, 926
3127, 1454, 564151, 927
1190, 1589, 565740, 928
259, 76, 565816, 929
3427, 18, 565834, 930
412, 529, 566363, 931
1858, 19, 566382, 932
1097, 234, 566616, 933
3903, 2079, 568695, 934
35, 137, 568832, 935
141, 1469, 570301, 936
1594, 584, 570885, 937
3229, 32, 570917, 938
1634, 531, 571448, 939
761, 1257, 572705, 940
1000, 84, 572789, 941
323, 360, 573149, 942
129, 501, 573650, 943
471, 120, 573770, 944
159, 374, 574144, 945
349, 392, 574536, 946
2424, 97, 574633, 947
2293, 420, 575053, 948
1182, 1240, 576293, 949
422, 101, 576394, 950
2668, 847, 577241, 951
1298, 1115, 578356, 952
572, 24, 578380, 953
2299, 34, 578414, 954
1189, 269, 578683, 955
3939, 797, 579480, 956
1249, 110, 579590, 957
248, 139, 579729, 958
3577, 342, 580071, 959
266, 200, 580271, 960
1959, 187, 580458, 961
3546, 124, 580582, 962
31, 204, 580786, 963
115, 754, 581540, 964
2820, 776, 582316, 965
2818, 1925, 584241, 966
1695, 40, 584281, 967
1833, 970, 585251, 968
387, 148, 585399, 969
3056, 416, 585815, 970
2571, 521, 586336, 971
453, 1392, 587728, 972
228, 1391, 589119, 973
131, 267, 589386, 974
546, 326, 589712, 975
361, 393, 590105, 976
1867, 510, 590615, 977
493, 268, 590883, 978
934, 10, 590893, 979
1185, 286, 591179, 980
1854, 485, 591664, 981
152, 1245, 592909, 982
501, 585, 593494, 983
3666, 1567, 595061, 984
1660, 723, 595784, 985
158, 89, 595873, 986
1274, 1485, 597358, 987
144, 81, 597439, 988
372, 445, 597884, 989
277, 409, 598293, 990
2711, 304, 598597, 991
76, 1470, 600067, 992
1782, 424, 600491, 993
348, 74, 600565, 994
209, 13, 600578, 995
1142, 528, 601106, 996
1276, 1000, 602106, 997
122, 449, 602555, 998
2649, 571, 603126, 999
153, 173, 603299, 1000
2088, 806, 604105, 1001
636, 330, 604435, 1002
1639, 103, 604538, 1003
128, 185, 604723, 1004
410, 215, 604938, 1005
3953, 378, 605316, 1006
2772, 229, 605545, 1007
520, 182, 605727, 1008
